cells,ny,velocity_rms_error,max_divergence
128,8,5.4398486495321834e-05,7.346553920761778e-16
288,12,2.5626385613467666e-05,3.3284753908909774e-15
800,20,9.521034145098562e-06,1.7458365482447832e-14
