y_m,velocity_m_s,exact_m_s
1.250000000000000026e-04,1.249999999999998671e-04,1.234374999999999850e-04
3.750000000000000078e-04,3.624999999999996498e-04,3.609374999999999845e-04
6.250000000000000130e-04,5.874999999999993726e-04,5.859374999999999783e-04
8.750000000000000182e-04,7.999999999999992794e-04,7.984374999999998852e-04
1.125000000000000132e-03,9.999999999999991535e-04,9.984375000000001929e-04
1.374999999999999920e-03,1.187499999999999103e-03,1.185937499999999926e-03
1.625000000000000142e-03,1.362499999999998695e-03,1.360937500000000168e-03
1.874999999999999931e-03,1.524999999999998362e-03,1.523437499999999835e-03
2.125000000000000153e-03,1.674999999999997888e-03,1.673437500000000229e-03
2.374999999999999941e-03,1.812499999999997490e-03,1.810937499999999830e-03
2.625000000000000163e-03,1.937499999999997384e-03,1.935937500000000158e-03
2.874999999999999951e-03,2.049999999999997137e-03,2.048437499999999911e-03
3.125000000000000173e-03,2.149999999999996966e-03,2.148437500000000173e-03
3.374999999999999962e-03,2.237499999999996870e-03,2.235937500000000078e-03
3.625000000000000184e-03,2.312499999999996850e-03,2.310937500000000491e-03
3.874999999999999972e-03,2.374999999999997339e-03,2.373437499999999679e-03
4.125000000000000194e-03,2.424999999999997470e-03,2.423437500000000244e-03
4.375000000000000416e-03,2.462499999999997677e-03,2.460937500000000017e-03
4.624999999999999771e-03,2.487499999999997526e-03,2.485937499999999866e-03
4.874999999999999993e-03,2.499999999999997450e-03,2.498437500000000224e-03
5.125000000000000215e-03,2.499999999999997450e-03,2.498437500000000224e-03
5.375000000000000437e-03,2.487499999999997526e-03,2.485937499999999866e-03
5.624999999999999792e-03,2.462499999999997677e-03,2.460937500000000017e-03
5.875000000000000014e-03,2.424999999999997904e-03,2.423437500000000244e-03
6.125000000000000236e-03,2.374999999999998206e-03,2.373437499999999679e-03
6.375000000000000458e-03,2.312499999999998584e-03,2.310937500000000058e-03
6.624999999999999813e-03,2.237499999999999038e-03,2.235937500000000078e-03
6.875000000000000035e-03,2.149999999999998700e-03,2.148437500000000173e-03
7.125000000000000257e-03,2.049999999999998438e-03,2.048437499999999911e-03
7.375000000000000479e-03,1.937499999999998251e-03,1.935937499999999725e-03
7.624999999999999833e-03,1.812499999999998140e-03,1.810937500000000047e-03
7.875000000000000056e-03,1.674999999999998105e-03,1.673437500000000229e-03
8.125000000000000278e-03,1.524999999999998362e-03,1.523437499999999835e-03
8.375000000000000500e-03,1.362499999999998695e-03,1.360937499999999951e-03
8.625000000000000722e-03,1.187499999999998886e-03,1.185937499999999709e-03
8.875000000000000944e-03,9.999999999999991535e-04,9.984374999999995424e-04
9.124999999999999431e-03,7.999999999999994962e-04,7.984375000000005357e-04
9.374999999999999653e-03,5.874999999999995894e-04,5.859375000000005204e-04
9.624999999999999875e-03,3.624999999999997582e-04,3.609375000000003097e-04
9.875000000000000097e-03,1.249999999999999213e-04,1.234375000000001205e-04
