cells,scheme,dt,steps,courant,diffusion_number,l2_error,mass_drift,integration_seconds
40,upwind,0.011111111111111112,18,0.4444444444444444,0.17777777777777776,0.017545065149866448,0.0,0.0004566630004774197
80,upwind,0.0038461538461538464,52,0.3076923076923077,0.2461538461538461,0.01100153423877166,0.0,0.0009891560002870392
160,upwind,0.0011904761904761906,168,0.1904761904761905,0.30476190476190473,0.006467478908989075,0.0,0.003427554999689164
40,lax_wendroff,0.011111111111111112,18,0.4444444444444444,0.17777777777777776,0.00044664537687948586,0.0,0.0005462240005726926
80,lax_wendroff,0.0038461538461538464,52,0.3076923076923077,0.2461538461538461,0.00024150015614343376,0.0,0.0010936700000456767
160,lax_wendroff,0.0011904761904761906,168,0.1904761904761905,0.30476190476190473,9.132334059540335e-05,0.0,0.0036181149998810724
