x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.250000000000000130e-04,6.250000000000000130e-05,3.329396865235893301e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,6.250000000000000130e-05,3.329925136059442252e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,6.250000000000000130e-05,3.330222968464487963e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,6.250000000000000130e-05,3.330386990100712410e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,6.250000000000000130e-05,3.330490431290374431e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,6.250000000000000130e-05,3.330563592466837122e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,6.250000000000000130e-05,3.330619399919653461e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,6.250000000000000130e-05,3.330664110504168320e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,6.250000000000000130e-05,3.330701154521123044e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,6.250000000000000130e-05,3.330732605817144076e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.312499999999999951e-02,6.250000000000000130e-05,3.330759811924962150e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,6.250000000000000130e-05,3.330783696682261734e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,6.250000000000000130e-05,3.330804920128652498e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000111e-02,6.250000000000000130e-05,3.330823969593606080e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.812499999999999875e-02,6.250000000000000130e-05,3.330841214726411863e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.937499999999999986e-02,6.250000000000000130e-05,3.330856942330038351e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000097e-02,6.250000000000000130e-05,3.330871379263232939e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-02,6.250000000000000130e-05,3.330884707979977861e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.312499999999999972e-02,6.250000000000000130e-05,3.330897077358524143e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
