x,y,u,v,pressure,theta,vorticity
1.562500000000000000e-02,1.562500000000000000e-02,7.211802264377517721e-05,-7.211802264382622958e-05,1.061271078014412207e-02,5.000000000000000000e-01,5.828494626688092949e-03
4.687500000000000000e-02,1.562500000000000000e-02,1.247703158823652001e-04,1.946572940518516445e-05,1.040380419020032685e-02,5.000000000000000000e-01,1.799955945639227298e-02
7.812500000000000000e-02,1.562500000000000000e-02,-6.656994210206993259e-05,1.718745285792499513e-04,1.001489420774613441e-02,5.000000000000000000e-01,4.110444412830484978e-02
1.093750000000000000e-01,1.562500000000000000e-02,-5.544109898228722928e-04,3.159665191415523817e-04,9.571994052336366479e-03,5.000000000000000000e-01,7.381146377874348019e-02
1.406250000000000000e-01,1.562500000000000000e-02,-1.299861640695865314e-03,4.294841317314406935e-04,9.165742820786974138e-03,5.000000000000000000e-01,1.160693868347168894e-01
1.718750000000000000e-01,1.562500000000000000e-02,-2.238307404042590761e-03,5.089616316152847540e-04,8.852434910262321419e-03,5.000000000000000000e-01,1.662962540420008795e-01
2.031250000000000000e-01,1.562500000000000000e-02,-3.304820615371286026e-03,5.575515797134106191e-04,8.663599509451612099e-03,5.000000000000000000e-01,2.222278210629017592e-01
2.343750000000000000e-01,1.562500000000000000e-02,-4.442262945878233150e-03,5.798907507935368308e-04,8.615133098697666872e-03,5.000000000000000000e-01,2.814262016787985043e-01
2.656250000000000000e-01,1.562500000000000000e-02,-5.602194309014276417e-03,5.800406123425062193e-04,8.713890372664232983e-03,5.000000000000000000e-01,3.415234035412473834e-01
2.968750000000000000e-01,1.562500000000000000e-02,-6.743069462542099213e-03,5.608345411853170098e-04,8.961692113523459999e-03,5.000000000000000000e-01,4.003069260460644929e-01
3.281250000000000000e-01,1.562500000000000000e-02,-7.827802446067247399e-03,5.238984423398305263e-04,9.357237704838603301e-03,5.000000000000000000e-01,4.557285163486178847e-01
3.593750000000000000e-01,1.562500000000000000e-02,-8.821690477151603038e-03,4.699895887445250582e-04,9.896502741635202632e-03,5.000000000000000000e-01,5.058881538296181590e-01
3.906250000000000000e-01,1.562500000000000000e-02,-9.691144243786753432e-03,3.994641778906257148e-04,1.057216681008727767e-02,5.000000000000000000e-01,5.490233170186286094e-01
4.218750000000000000e-01,1.562500000000000000e-02,-1.040337460904072059e-02,3.127661873633418759e-04,1.137254690745239522e-02,5.000000000000000000e-01,5.835183221199049530e-01
4.531250000000000000e-01,1.562500000000000000e-02,-1.092701431811986604e-02,2.108735217158027599e-04,1.228044014613131896e-02,5.000000000000000000e-01,6.079382470399957716e-01
4.843750000000000000e-01,1.562500000000000000e-02,-1.123354344189587614e-02,9.565560206020779128e-05,1.327221558219156793e-02,5.000000000000000000e-01,6.210851524773313148e-01
5.156250000000000000e-01,1.562500000000000000e-02,-1.129928585405112068e-02,-2.991318990496218111e-05,1.431743511582164556e-02,5.000000000000000000e-01,6.220703346205195272e-01
5.468750000000000000e-01,1.562500000000000000e-02,-1.110758546046947820e-02,-1.617872036766823869e-04,1.537948224469968400e-02,5.000000000000000000e-01,6.104157506645887521e-01
5.781250000000000000e-01,1.562500000000000000e-02,-1.065158878638276102e-02,-2.942094704100327329e-04,1.641531287431779312e-02,5.000000000000000000e-01,5.861462532902507183e-01
6.093750000000000000e-01,1.562500000000000000e-02,-9.937418237304679325e-03,-4.199610786680490170e-04,1.737762020901194998e-02,5.000000000000000000e-01,5.498526909236953752e-01
6.406250000000000000e-01,1.562500000000000000e-02,-8.986578522408953176e-03,-5.308786362276787579e-04,1.821837226710184415e-02,5.000000000000000000e-01,5.027458076768847040e-01
6.718750000000000000e-01,1.562500000000000000e-02,-7.837183117021154222e-03,-6.185167691601209557e-04,1.889311042721340123e-02,5.000000000000000000e-01,4.466743189244843926e-01
7.031250000000000000e-01,1.562500000000000000e-02,-6.543689944056701839e-03,-6.749764038043303428e-04,1.936573011673403677e-02,5.000000000000000000e-01,3.840912642823460232e-01
7.343750000000000000e-01,1.562500000000000000e-02,-5.174877994943089324e-03,-6.938355453092826062e-04,1.961321227967448982e-02,5.000000000000000000e-01,3.179605414477011394e-01
7.656250000000000000e-01,1.562500000000000000e-02,-3.809970385477009884e-03,-6.710720641567962915e-04,1.962969225528223005e-02,5.000000000000000000e-01,2.515983335729284898e-01
7.968750000000000000e-01,1.562500000000000000e-02,-2.533041225219803509e-03,-6.058570961004103002e-04,1.942929946334552571e-02,5.000000000000000000e-01,1.884471239478987536e-01
8.281250000000000000e-01,1.562500000000000000e-02,-1.426032448853789677e-03,-5.011516802656036402e-04,1.904740295156975155e-02,5.000000000000000000e-01,1.317818747056703210e-01
8.593750000000000000e-01,1.562500000000000000e-02,-5.606673507647495390e-04,-3.642134178234363354e-04,1.854021930866997514e-02,5.000000000000000000e-01,8.434709110518634478e-02
8.906250000000000000e-01,1.562500000000000000e-02,1.105926799153710081e-05,-2.075132009328502908e-04,1.798301917411780290e-02,5.000000000000000000e-01,4.792077992101074352e-02
9.218750000000000000e-01,1.562500000000000000e-02,2.699166701730003012e-04,-5.134420124861286213e-05,1.746688838014900935e-02,5.000000000000000000e-01,2.281261638906707107e-02
9.531250000000000000e-01,1.562500000000000000e-02,2.518613118599255041e-04,6.939955956168765243e-05,1.709241993487747510e-02,5.000000000000000000e-01,7.379546397780619056e-03
9.843750000000000000e-01,1.562500000000000000e-02,9.123087614911893262e-05,9.123087614911894617e-05,1.695124799517758879e-02,5.000000000000000000e-01,1.219619269631190550e-03
1.562500000000000000e-02,4.687500000000000000e-02,-1.843868239121633680e-05,-1.257973628964361291e-04,1.082160485957505032e-02,5.000000000000000000e-01,1.824665276493973171e-02
4.687500000000000000e-02,4.687500000000000000e-02,-3.157196415183552061e-04,3.177737355462928004e-04,1.060876082668471554e-02,5.000000000000000000e-01,3.521325331875273246e-02
7.812500000000000000e-02,4.687500000000000000e-02,-1.202833426243412902e-03,9.520205651476349980e-04,1.028893021477011137e-02,5.000000000000000000e-01,6.253405695075023307e-02
1.093750000000000000e-01,4.687500000000000000e-02,-2.732214431332510678e-03,1.553042535383067661e-03,9.939691574503480009e-03,5.000000000000000000e-01,9.447590597723876105e-02
1.406250000000000000e-01,4.687500000000000000e-02,-4.830532423043902221e-03,2.036176758074310141e-03,9.622249943736964697e-03,5.000000000000000000e-01,1.329144985590432759e-01
1.718750000000000000e-01,4.687500000000000000e-02,-7.371031618864132794e-03,2.381213964439371326e-03,9.378867985976794067e-03,5.000000000000000000e-01,1.775545392254239963e-01
2.031250000000000000e-01,4.687500000000000000e-02,-1.021397546399784029e-02,2.594756303351726696e-03,9.236002284801323250e-03,5.000000000000000000e-01,2.269596846758728803e-01
2.343750000000000000e-01,4.687500000000000000e-02,-1.322558723202613834e-02,2.691740125690466907e-03,9.208912651117511991e-03,5.000000000000000000e-01,2.791947072351784742e-01
2.656250000000000000e-01,4.687500000000000000e-02,-1.628432877448236782e-02,2.686864143037846504e-03,9.305651228098243272e-03,5.000000000000000000e-01,3.321842268178259450e-01
2.968750000000000000e-01,4.687500000000000000e-02,-1.928073198648295322e-02,2.591289376018389694e-03,9.529748150228528614e-03,5.000000000000000000e-01,3.838946146163377815e-01
3.281250000000000000e-01,4.687500000000000000e-02,-2.211474105818195257e-02,2.412185662730904293e-03,9.881576665002117163e-03,5.000000000000000000e-01,4.324166282686045526e-01
3.593750000000000000e-01,4.687500000000000000e-02,-2.469291241655177313e-02,2.153761757807625809e-03,1.035864825448902515e-02,5.000000000000000000e-01,4.759998828203291787e-01
3.906250000000000000e-01,4.687500000000000000e-02,-2.692673460130948909e-02,1.818967960220391807e-03,1.095517147691438958e-02,5.000000000000000000e-01,5.130706757951870589e-01
4.218750000000000000e-01,4.687500000000000000e-02,-2.873261750337516296e-02,1.411375672353214639e-03,1.166121258190093435e-02,5.000000000000000000e-01,5.422507232793335463e-01
4.531250000000000000e-01,4.687500000000000000e-02,-3.003363983077129984e-02,9.369260732012140054e-04,1.246177017093653971e-02,5.000000000000000000e-01,5.623844595576437122e-01
4.843750000000000000e-01,4.687500000000000000e-02,-3.076284781262286078e-02,4.053401562023699052e-04,1.333603992873964861e-02,5.000000000000000000e-01,5.725755499815042837e-01
5.156250000000000000e-01,4.687500000000000000e-02,-3.086770521381080115e-02,-1.689979307039409125e-04,1.425710069318427732e-02,5.000000000000000000e-01,5.722295544773636777e-01
