y_m,velocity_m_s,exact_m_s
2.500000000000000052e-04,1.250000000000000243e-03,1.218749999999999998e-03
7.500000000000000156e-04,3.500000000000001374e-03,3.468750000000000045e-03
1.250000000000000026e-03,5.500000000000002283e-03,5.468750000000000520e-03
1.750000000000000036e-03,7.250000000000002970e-03,7.218750000000000340e-03
2.250000000000000264e-03,8.750000000000002567e-03,8.718750000000000805e-03
2.749999999999999840e-03,1.000000000000000194e-02,9.968750000000000180e-03
3.250000000000000284e-03,1.099999999999999936e-02,1.096875000000000107e-02
3.749999999999999861e-03,1.174999999999999829e-02,1.171875000000000000e-02
4.250000000000000305e-03,1.224999999999999874e-02,1.221875000000000044e-02
4.749999999999999882e-03,1.249999999999999896e-02,1.246874999999999893e-02
5.250000000000000326e-03,1.249999999999999549e-02,1.246874999999999893e-02
5.749999999999999903e-03,1.224999999999999353e-02,1.221875000000000044e-02
6.250000000000000347e-03,1.174999999999999135e-02,1.171875000000000000e-02
6.749999999999999924e-03,1.099999999999999069e-02,1.096875000000000107e-02
7.250000000000000368e-03,9.999999999999991535e-03,9.968750000000000180e-03
7.749999999999999944e-03,8.749999999999993894e-03,8.718750000000000805e-03
8.250000000000000389e-03,7.249999999999994296e-03,7.218749999999999473e-03
8.750000000000000833e-03,5.499999999999995344e-03,5.468749999999997051e-03
9.249999999999999542e-03,3.499999999999997471e-03,3.468750000000003081e-03
9.749999999999999986e-03,1.249999999999999159e-03,1.218750000000001082e-03
