x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.250000000000000130e-04,1.250000000000000026e-04,3.331328030831537603e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,1.250000000000000026e-04,3.331374291457912591e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,1.250000000000000026e-04,3.331400080523676479e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,1.250000000000000026e-04,3.331413763205175655e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,1.250000000000000026e-04,3.331422147387776249e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,1.250000000000000026e-04,3.331427985732626098e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,1.250000000000000026e-04,3.331432403367812753e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,1.250000000000000026e-04,3.331435925908269837e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,1.250000000000000026e-04,3.331438835124650382e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,1.250000000000000026e-04,3.331441299191441203e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.312499999999999951e-02,1.250000000000000026e-04,3.331443426569597932e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,1.250000000000000026e-04,3.331445291264300295e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.250000000000000026e-04,3.331446945970660636e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000111e-02,1.250000000000000026e-04,3.331448429493289041e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.812499999999999875e-02,1.250000000000000026e-04,3.331449771202096599e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.937499999999999986e-02,1.250000000000000026e-04,3.331450993841047534e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000097e-02,1.250000000000000026e-04,3.331452115369091302e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-02,1.250000000000000026e-04,3.331453150206150440e+02,4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
