x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
2.500000000000000052e-03,2.500000000000000052e-04,3.325914914919956686e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,2.500000000000000052e-04,3.327748659501993984e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,2.500000000000000052e-04,3.328440086899873904e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,2.500000000000000052e-04,3.328806448878279411e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.500000000000000052e-04,3.329050039643011019e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,2.500000000000000052e-04,3.329231514079938279e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,2.500000000000000052e-04,3.329376076007432630e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,2.500000000000000052e-04,3.329496707827917135e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,2.500000000000000052e-04,3.329600916876202632e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,2.500000000000000052e-04,3.329693343930155152e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,2.500000000000000052e-04,3.329776986378716401e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000250e-02,2.500000000000000052e-04,3.329853842566717503e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,2.500000000000000052e-04,3.329925278204078154e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,2.500000000000000052e-04,3.329992246557831095e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999500e-02,2.500000000000000052e-04,3.330055426312378017e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.749999999999999944e-02,2.500000000000000052e-04,3.330115310516482623e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000389e-02,2.500000000000000052e-04,3.330172265219094925e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-02,2.500000000000000052e-04,3.330226568338834454e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.249999999999999889e-02,2.500000000000000052e-04,3.330278413594878657e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
