x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
0.000000000000000000e+00,5.000000000000000000e+03,2.049999999999999739e-03,5.003049272910540246e-01,6.605297379066204110e-06
3.144654088050314635e-03,4.970041286872771707e+03,2.049700412868727707e-03,5.004511885404384630e-01,6.605297379066204110e-06
6.289308176100629269e-03,4.940065096223116598e+03,2.049400650962231001e-03,5.005975993202010921e-01,6.605297379066204110e-06
9.433962264150944771e-03,4.910071403486536838e+03,2.049100714034865402e-03,5.007441599003487065e-01,6.605297379066204110e-06
1.257861635220125854e-02,4.880060184065635440e+03,2.048800601840656231e-03,5.008908705514856230e-01,6.605297379066204110e-06
1.572327044025157231e-02,4.850031413330073519e+03,2.048500314133300942e-03,5.010377315448133473e-01,6.605297379066204110e-06
1.886792452830188954e-02,4.819985066616519362e+03,2.048199850666165226e-03,5.011847431521339047e-01,6.605297379066204110e-06
2.201257861635220331e-02,4.789921119228607495e+03,2.047899211192286042e-03,5.013319056458501732e-01,6.605297379066204110e-06
2.515723270440251708e-02,4.759839546436885939e+03,2.047598395464369017e-03,5.014792192989682151e-01,6.605297379066204110e-06
2.830188679245283084e-02,4.729740323478775281e+03,2.047297403234787580e-03,5.016266843850984980e-01,6.605297379066204110e-06
3.144654088050314461e-02,4.699623425558516828e+03,2.046996234255585127e-03,5.017743011784572271e-01,6.605297379066204110e-06
3.459119496855345838e-02,4.669488827847129869e+03,2.046694888278471122e-03,5.019220699538692321e-01,6.605297379066204110e-06
3.773584905660377908e-02,4.639336505482361645e+03,2.046393365054823693e-03,5.020699909867674116e-01,6.605297379066204110e-06
4.088050314465409285e-02,4.609166433568643697e+03,2.046091664335686604e-03,5.022180645531968413e-01,6.605297379066204110e-06
4.402515723270440662e-02,4.578978587177040026e+03,2.045789785871770551e-03,5.023662909298145518e-01,6.605297379066204110e-06
4.716981132075472039e-02,4.548772941345205254e+03,2.045487729413451861e-03,5.025146703938918602e-01,6.605297379066204110e-06
5.031446540880503415e-02,4.518549471077335511e+03,2.045185494710773360e-03,5.026632032233154801e-01,6.605297379066204110e-06
5.345911949685534792e-02,4.488308151344117505e+03,2.044883081513441340e-03,5.028118896965901863e-01,6.605297379066204110e-06
5.660377358490566169e-02,4.458048957082688503e+03,2.044580489570826855e-03,5.029607300928399249e-01,6.605297379066204110e-06
5.974842767295597545e-02,4.427771863196582672e+03,2.044277718631965727e-03,5.031097246918085908e-01,6.605297379066204110e-06
6.289308176100628922e-02,4.397476844555685602e+03,2.043974768445556804e-03,5.032588737738629137e-01,6.605297379066204110e-06
6.603773584905660299e-02,4.367163875996187016e+03,2.043671638759961967e-03,5.034081776199939018e-01,6.605297379066204110e-06
6.918238993710691676e-02,4.336832932320533473e+03,2.043368329323205258e-03,5.035576365118180631e-01,6.605297379066204110e-06
7.232704402515723052e-02,4.306483988297381984e+03,2.043064839882973750e-03,5.037072507315790704e-01,6.605297379066204110e-06
7.547169811320755817e-02,4.276117018661547263e+03,2.042761170186615377e-03,5.038570205621500930e-01,6.605297379066204110e-06
7.861635220125787193e-02,4.245731721691474377e+03,2.042457317216914755e-03,5.040069476512621938e-01,6.605297379066204110e-06
8.176100628930818570e-02,4.215327982341775169e+03,2.042153279823417586e-03,5.041570327278351860e-01,6.605297379066204110e-06
8.490566037735849947e-02,4.184906152330497207e+03,2.041849061523305208e-03,5.043072742163741129e-01,6.605297379066204110e-06
8.805031446540881324e-02,4.154466206277325909e+03,2.041544662062773265e-03,5.044576724021156977e-01,6.605297379066204110e-06
9.119496855345912700e-02,4.124008118767902488e+03,2.041240081187679131e-03,5.046082275709322662e-01,6.605297379066204110e-06
9.433962264150944077e-02,4.093531864353775745e+03,2.040935318643538002e-03,5.047589400093357437e-01,6.605297379066204110e-06
