x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
0.000000000000000000e+00,5.000000000000000000e+03,2.000100000000000315e-03,5.000000012499513646e-01,6.283813657127191919e-06
1.672240802675585255e-03,4.983279258454896990e+03,2.000099665585169419e-03,5.000001684490491538e-01,6.283813657127191919e-06
3.344481605351170509e-03,4.966558505727019110e+03,2.000099331170114743e-03,5.000003356483427863e-01,6.283813657127191919e-06
5.016722408026755980e-03,4.949837741816349990e+03,2.000098996754836288e-03,5.000005028478321512e-01,6.283813657127191919e-06
6.688963210702341018e-03,4.933116966722873258e+03,2.000098662339334487e-03,5.000006700475170263e-01,6.283813657127191919e-06
8.361204013377926056e-03,4.916396180446572544e+03,2.000098327923609341e-03,5.000008372473974116e-01,6.283813657127191919e-06
1.003344481605351196e-02,4.899675382987429657e+03,2.000097993507659981e-03,5.000010044474738624e-01,6.283813657127191919e-06
1.170568561872909613e-02,4.882954574345427318e+03,2.000097659091486842e-03,5.000011716477460455e-01,6.283813657127191919e-06
1.337792642140468204e-02,4.866233754520550974e+03,2.000097324675090792e-03,5.000013388482134058e-01,6.283813657127191919e-06
1.505016722408026794e-02,4.849512923512783345e+03,2.000096990258470528e-03,5.000015060488768315e-01,6.283813657127191919e-06
1.672240802675585211e-02,4.832792081322105332e+03,2.000096655841626485e-03,5.000016732497359895e-01,6.283813657127191919e-06
1.839464882943143628e-02,4.816071227948501473e+03,2.000096321424559096e-03,5.000018404507907688e-01,6.283813657127191919e-06
2.006688963210702392e-02,4.799350363391955398e+03,2.000095987007267928e-03,5.000020076520411694e-01,6.283813657127191919e-06
2.173913043478260809e-02,4.782629487652449825e+03,2.000095652589752981e-03,5.000021748534874133e-01,6.283813657127191919e-06
2.341137123745819226e-02,4.765908600729968384e+03,2.000095318172014688e-03,5.000023420551290565e-01,6.283813657127191919e-06
2.508361204013377990e-02,4.749187702624493795e+03,2.000094983754052615e-03,5.000025092569666540e-01,6.283813657127191919e-06
2.675585284280936407e-02,4.732466793336008777e+03,2.000094649335866764e-03,5.000026764589998729e-01,6.283813657127191919e-06
2.842809364548494824e-02,4.715745872864497869e+03,2.000094314917457133e-03,5.000028436612290461e-01,6.283813657127191919e-06
3.010033444816053588e-02,4.699024941209942881e+03,2.000093980498824156e-03,5.000030108636536186e-01,6.283813657127191919e-06
3.177257525083612005e-02,4.682303998372328351e+03,2.000093646079967400e-03,5.000031780662738123e-01,6.283813657127191919e-06
3.344481605351170422e-02,4.665583044351635181e+03,2.000093311660886865e-03,5.000033452690899605e-01,6.283813657127191919e-06
3.511705685618728839e-02,4.648862079147847908e+03,2.000092977241582984e-03,5.000035124721015078e-01,6.283813657127191919e-06
3.678929765886287256e-02,4.632141102760951071e+03,2.000092642822055324e-03,5.000036796753087875e-01,6.283813657127191919e-06
3.846153846153846367e-02,4.615420115190925571e+03,2.000092308402303884e-03,5.000038468787120216e-01,6.283813657127191919e-06
4.013377926421404784e-02,4.598699116437755947e+03,2.000091973982329099e-03,5.000040140823105439e-01,6.283813657127191919e-06
4.180602006688963201e-02,4.581978106501425827e+03,2.000091639562130100e-03,5.000041812861052426e-01,6.283813657127191919e-06
4.347826086956521618e-02,4.565257085381916113e+03,2.000091305141707756e-03,5.000043484900953406e-01,6.283813657127191919e-06
4.515050167224080035e-02,4.548536053079212252e+03,2.000090970721061633e-03,5.000045156942813929e-01,6.283813657127191919e-06
4.682274247491638453e-02,4.531815009593296054e+03,2.000090636300191731e-03,5.000046828986629555e-01,6.283813657127191919e-06
4.849498327759197563e-02,4.515093954924151149e+03,2.000090301879098482e-03,5.000048501032402504e-01,6.283813657127191919e-06
5.016722408026755980e-02,4.498372889071760255e+03,2.000089967457781455e-03,5.000050173080132776e-01,6.283813657127191919e-06
5.183946488294314398e-02,4.481651812036107913e+03,2.000089633036240648e-03,5.000051845129819261e-01,6.283813657127191919e-06
5.351170568561872815e-02,4.464930723817175931e+03,2.000089298614476496e-03,5.000053517181461959e-01,6.283813657127191919e-06
