time,steps,change_rate,max_divergence,kinetic_energy,nusselt_hot,nusselt_cold,max_energy_step_defect
0.00351123595505618,1,19.190391331554462,8.779001831049627e-15,6.657950547519546e-05,,,0.0
0.6050133268220893,189,0.3399379734023058,3.039235529911366e-15,0.018207572680060555,,,0.0
1.2057375611662409,381,0.13202499374834012,4.140351256287644e-15,0.022943038242385815,,,0.0
1.8069560480351197,574,0.06713201154933363,5.185955831432665e-15,0.02547302297152139,,,0.0
2.409393975907371,768,0.0396814338530607,7.407269242420966e-15,0.02703665270025261,,,0.0
3.010892634615169,962,0.02493905376204953,6.4254157550180935e-15,0.028066226862929335,,,0.0
3.6118944093815957,1156,0.01621869146560928,7.044712035941814e-15,0.028766397641827375,,,0.0
4.212606147576193,1350,0.01076762864496882,5.883314668775341e-15,0.029248134119478554,,,0.0
4.813137737841069,1544,0.0072413469958792385,6.6448582747291596e-15,0.02958052931839701,,,0.0
5.4135532619727185,1738,0.0049040239562361185,6.806187557995003e-15,0.029809801969211795,,,0.0
6.013892346251748,1932,0.0033322194674070423,7.0551203767976745e-15,0.029967661816756384,,,0.0
6.61418041789616,2126,0.002288322141972686,7.40553451894499e-15,0.030076148264423213,,,0.0
7.214434180349225,2320,0.0015769592701751062,6.809657004946956e-15,0.03015059002205314,,,0.0
7.814664753688525,2514,0.00108292140580823,7.499209586647737e-15,0.030201606415666618,,,0.0
8.414879592135234,2708,0.0007418993207393128,6.167809318835538e-15,0.030236529653637847,,,0.0
9.015083730802543,2902,0.0005074405805298748,6.849555644894423e-15,0.03026041614297061,,,0.0
9.61528058439445,3096,0.0003467035772347685,7.701304871599035e-15,0.030276743273272087,,,0.0
10.215472473784025,3290,0.00023672029938475388,8.063862078078188e-15,0.03028789763093881,,,0.0
10.81566097862696,3484,0.00016155834040500948,8.419480390653433e-15,0.03029551497501865,,,0.0
11.415847175131614,3678,0.00011023366824126725,8.027432885082675e-15,0.030300715249003983,,,0.0
12.016031797060823,3872,7.520341280474024e-05,6.893791093531831e-15,0.030304264584510732,,,0.0
12.616215344866083,4066,5.130131021658562e-05,6.722920831148116e-15,0.030306686693147886,,,0.0
13.216398159924475,4260,3.499485078793174e-05,6.415007414162233e-15,0.030308339366654814,,,0.0
13.816580475116897,4454,2.3871194569442012e-05,7.268491364342822e-15,0.030309466935852042,,,0.0
14.41676244931297,4648,1.6283335774780603e-05,7.89385917743246e-15,0.030310236196634265,,,0.0
15.016944190891964,4842,1.1107441567684297e-05,6.428017840232059e-15,0.030310760987796916,,,0.0
15.61712577378824,5036,7.57681826219106e-06,5.99260224776188e-15,0.03031111899172014,,,0.0
16.217307248437816,5230,5.168468546742002e-06,7.739468788070525e-15,0.030311363211832205,,,0.0
16.81748864924642,5424,3.5256462804040766e-06,7.11149888976692e-15,0.03031152980997442,,,0.0
17.41766999968423,5618,2.4050108463269628e-06,6.7263902781000695e-15,0.030311643456399688,,,0.0
18.017851315761547,5812,1.640576133979825e-06,6.7758298971654085e-15,0.03031172098099083,,,0.0
18.61803260839983,6006,1.119119486088729e-06,6.845218836204481e-15,0.030311773864714342,,,0.0
18.887186069144764,6093,9.427130902913192e-07,7.59028256913652e-15,0.030311791755129235,,,0.0
