x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
1.250000000000000026e-03,6.250000000000000130e-04,9.911242806951855755e+01,1.000000000000000036e-10,7.104079409791551401e-05,-1.751982969949494439e-08
3.749999999999999861e-03,6.250000000000000130e-04,9.733553222558566631e+01,1.000000000000000036e-10,7.118424679816767861e-05,-5.420652042630535223e-08
6.250000000000000347e-03,6.250000000000000130e-04,9.555321572961017296e+01,1.000000000000000036e-10,7.148459257484715101e-05,-9.596636791343369472e-08
8.750000000000000833e-03,6.250000000000000130e-04,9.376130259684330781e+01,1.000000000000000036e-10,7.196977213706445245e-05,-1.466234131947885320e-07
1.124999999999999958e-02,6.250000000000000130e-04,9.195472712275694960e+01,1.000000000000000036e-10,7.268435268639363695e-05,-2.106668614698037157e-07
1.375000000000000007e-02,6.250000000000000130e-04,9.012708496252362522e+01,1.000000000000000036e-10,7.369269941073040690e-05,-2.935065006988678746e-07
1.625000000000000056e-02,6.250000000000000130e-04,8.827009215222042826e+01,1.000000000000000036e-10,7.508306469045520812e-05,-4.016761391642375222e-07
1.874999999999999931e-02,6.250000000000000130e-04,8.637293172800086438e+01,1.000000000000000036e-10,7.697220656268028479e-05,-5.428947969477347816e-07
2.125000000000000153e-02,6.250000000000000130e-04,8.442148182408641333e+01,1.000000000000000036e-10,7.950961166421703879e-05,-7.258077538187989707e-07
2.375000000000000028e-02,6.250000000000000130e-04,8.239745114479001131e+01,1.000000000000000036e-10,8.287939807739091948e-05,-9.590854527675672941e-07
2.624999999999999903e-02,6.250000000000000130e-04,8.027751192021686677e+01,1.000000000000000036e-10,8.729625202344207225e-05,-1.249341520256734731e-06
2.875000000000000125e-02,6.250000000000000130e-04,7.803263854361790663e+01,1.000000000000000036e-10,9.298905604643349925e-05,-1.597060491238266414e-06
3.125000000000000000e-02,6.250000000000000130e-04,7.562805911789519087e+01,1.000000000000000036e-10,1.001623031799172550e-04,-1.989563075503042247e-06
3.375000000000000222e-02,6.250000000000000130e-04,7.302452338462204295e+01,1.000000000000000036e-10,1.089225763516088523e-04,-2.390573510341482046e-06
3.624999999999999750e-02,6.250000000000000130e-04,7.018193030031474677e+01,1.000000000000000036e-10,1.191610409463052451e-04,-2.728658787006565270e-06
3.874999999999999972e-02,6.250000000000000130e-04,6.706647133730677979e+01,1.000000000000000036e-10,1.304054439267528297e-04,-2.893542703215529565e-06
4.125000000000000194e-02,6.250000000000000130e-04,6.366165810397710345e+01,1.000000000000000036e-10,1.417067319027426916e-04,-2.757101284778115631e-06
4.375000000000000416e-02,6.250000000000000130e-04,5.998113474216964391e+01,1.000000000000000036e-10,1.516779876934672882e-04,-2.228526610583969179e-06
4.624999999999999944e-02,6.250000000000000130e-04,5.607775871930373768e+01,1.000000000000000036e-10,1.588156393600334256e-04,-1.340299222698888408e-06
4.875000000000000167e-02,6.250000000000000130e-04,5.204035277416797101e+01,1.000000000000000036e-10,1.623622298692272109e-04,-4.329960318972324887e-07
5.125000000000000389e-02,6.250000000000000130e-04,4.795964722584237450e+01,1.000000000000000036e-10,1.623622298692290811e-04,4.329960318978009008e-07
5.374999999999999917e-02,6.250000000000000130e-04,4.392224128070651545e+01,1.000000000000000036e-10,1.588156393600372745e-04,1.340299222698604017e-06
5.625000000000000139e-02,6.250000000000000130e-04,4.001886525784050974e+01,1.000000000000000036e-10,1.516779876934725465e-04,2.228526610583685000e-06
5.875000000000000361e-02,6.250000000000000130e-04,3.633834189603288678e+01,1.000000000000000036e-10,1.417067319027492240e-04,2.757101284777831452e-06
6.124999999999999889e-02,6.250000000000000130e-04,3.293352866270304702e+01,1.000000000000000036e-10,1.304054439267621538e-04,2.893542703216097924e-06
6.375000000000000111e-02,6.250000000000000130e-04,2.981806969969477805e+01,1.000000000000000036e-10,1.191610409463183097e-04,2.728658787006423392e-06
6.625000000000000333e-02,6.250000000000000130e-04,2.697547661538713015e+01,1.000000000000000036e-10,1.089225763516224997e-04,2.390573510341482046e-06
6.875000000000000555e-02,6.250000000000000130e-04,2.437194088211365184e+01,1.000000000000000036e-10,1.001623031799323254e-04,1.989563075503752484e-06
7.125000000000000777e-02,6.250000000000000130e-04,2.196736145639051330e+01,1.000000000000000036e-10,9.298905604644992491e-05,1.597060491237698055e-06
7.374999999999999611e-02,6.250000000000000130e-04,1.972248807979115526e+01,1.000000000000000036e-10,8.729625202346047658e-05,1.249341520257303090e-06
7.624999999999999833e-02,6.250000000000000130e-04,1.760254885521748847e+01,1.000000000000000036e-10,8.287939807741229181e-05,9.590854527671410248e-07
7.875000000000000056e-02,6.250000000000000130e-04,1.557851817592053933e+01,1.000000000000000036e-10,7.950961166423991546e-05,7.258077538189410605e-07
8.125000000000000278e-02,6.250000000000000130e-04,1.362706827200549142e+01,1.000000000000000036e-10,7.697220656270679353e-05,5.428947969477347816e-07
8.375000000000000500e-02,6.250000000000000130e-04,1.172990784778519924e+01,1.000000000000000036e-10,7.508306469048494237e-05,4.016761391633137799e-07
8.625000000000000722e-02,6.250000000000000130e-04,9.872915037481243772e+00,1.000000000000000036e-10,7.369269941076103561e-05,2.935065006987258378e-07
8.874999999999999556e-02,6.250000000000000130e-04,8.045272877247146681e+00,1.000000000000000036e-10,7.268435268642446895e-05,2.106668614696615995e-07
9.124999999999999778e-02,6.250000000000000130e-04,6.238697403160020194e+00,1.000000000000000036e-10,7.196977213709737154e-05,1.466234131939003650e-07
9.375000000000000000e-02,6.250000000000000130e-04,4.446784270392277527e+00,1.000000000000000036e-10,7.148459257488368863e-05,9.596636791300735921e-08
9.625000000000000222e-02,6.250000000000000130e-04,2.664467774415835155e+00,1.000000000000000036e-10,7.118424679820656081e-05,5.420652042554151380e-08
9.875000000000000444e-02,6.250000000000000130e-04,8.875719304819489341e-01,1.000000000000000036e-10,7.104079409795568370e-05,1.751982969987686360e-08
1.250000000000000026e-03,1.874999999999999931e-03,9.911286606526104492e+01,1.000000000000000036e-10,7.100493092285261178e-05,-5.214773126795078811e-08
