y_m,velocity_m_s,exact_m_s
5.000000000000000104e-04,2.500000000000000919e-03,2.374999999999999941e-03
1.500000000000000031e-03,6.500000000000002304e-03,6.375000000000000458e-03
2.500000000000000052e-03,9.500000000000003234e-03,9.374999999999999653e-03
3.500000000000000073e-03,1.150000000000000501e-02,1.137500000000000143e-02
4.500000000000000527e-03,1.250000000000000590e-02,1.237500000000000058e-02
5.499999999999999681e-03,1.250000000000000590e-02,1.237500000000000058e-02
6.500000000000000569e-03,1.150000000000000501e-02,1.137499999999999969e-02
7.499999999999999722e-03,9.500000000000004968e-03,9.375000000000001388e-03
8.500000000000000611e-03,6.500000000000002304e-03,6.374999999999998723e-03
9.499999999999999764e-03,2.500000000000000919e-03,2.375000000000002109e-03
