x,numerical,analytical,error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,3.222600977723946714e-02,3.222715460811705068e-02,-1.144830877583546958e-06
2.500000000000000139e-02,6.440232938319020994e-02,6.440461727969915007e-02,-2.287896508940123752e-06
3.750000000000000555e-02,9.647934526520603182e-02,9.648277269957573898e-02,-3.427434369707160755e-06
5.000000000000000278e-02,1.284075969897853498e-01,1.284121586771604373e-01,-4.561687375087553065e-06
6.250000000000000000e-02,1.601378535069746811e-01,1.601435424135638497e-01,-5.688906589168540862e-06
7.500000000000001110e-02,1.916211890610794444e-01,1.916279964150011117e-01,-6.807353921667314012e-06
8.750000000000000833e-02,2.228090586306328558e-01,2.228169739354406709e-01,-7.915304807815104482e-06
1.000000000000000056e-01,2.536533727813005679e-01,2.536623838321681590e-01,-9.011050867591130498e-06
1.125000000000000028e-01,2.841065718163027221e-01,2.841166647188428929e-01,-1.009290254017081168e-05
1.250000000000000000e-01,3.141216991100192479e-01,3.141328583017077847e-01,-1.115919168853674037e-05
1.375000000000000111e-01,3.436524735117030827e-01,3.436646817858752256e-01,-1.220827417214298549e-05
1.500000000000000222e-01,3.726533607076599752e-01,3.726665992400418070e-01,-1.323853238183181347e-05
1.625000000000000056e-01,4.010796434318600889e-01,4.010938918095941497e-01,-1.424837773406073538e-05
1.750000000000000167e-01,4.288874904167206958e-01,4.289027266698413610e-01,-1.523625312066512194e-05
1.875000000000000000e-01,4.560340239777441185e-01,4.560502246130535009e-01,-1.620063530938242735e-05
2.000000000000000111e-01,4.824773861277993348e-01,4.824945261650919748e-01,-1.714003729264002018e-05
2.125000000000000222e-01,5.081768031191039592e-01,5.081948561296847355e-01,-1.805301058077635190e-05
2.250000000000000056e-01,5.330926483133884286e-01,5.331115864608234611e-01,-1.893814743503252629e-05
2.375000000000000167e-01,5.571865032832995501e-01,5.572062973663380880e-01,-1.979408303853791296e-05
2.500000000000000000e-01,5.804212170508312729e-01,5.804418365484320663e-01,-2.061949760079340166e-05
2.625000000000000111e-01,6.027609633714395843e-01,6.027823764898319059e-01,-2.141311839232162839e-05
2.750000000000000222e-01,6.241712959755152390e-01,6.241934696972226693e-01,-2.217372170743026061e-05
2.875000000000000333e-01,6.446192016820347925e-01,6.446421018167852734e-01,-2.290013475048091607e-05
3.000000000000000444e-01,6.640731513024923371e-01,6.640967425399382229e-01,-2.359123744588575988e-05
3.125000000000000000e-01,6.825031482566236152e-01,6.825273942207865652e-01,-2.424596416294999557e-05
3.250000000000000111e-01,6.998807748249581406e-01,6.999056381303188079e-01,-2.486330536066727603e-05
3.375000000000000222e-01,7.161792359668831542e-01,7.162046782760267405e-01,-2.544230914358625029e-05
3.500000000000000333e-01,7.313734006366537921e-01,7.313993827193836506e-01,-2.598208272985846889e-05
3.625000000000000444e-01,7.454398405336440936e-01,7.454663223274722306e-01,-2.648179382813697913e-05
3.750000000000000000e-01,7.583568662270890881e-01,7.583838068990085279e-01,-2.694067191943982920e-05
3.875000000000000111e-01,7.701045605996139631e-01,7.701319186090614943e-01,-2.735800944753119524e-05
4.000000000000000222e-01,7.806648095579863389e-01,7.806925427208941670e-01,-2.773316290782812388e-05
4.125000000000000333e-01,7.900213299637343090e-01,7.900493955175755811e-01,-2.806555384127218389e-05
4.250000000000000444e-01,7.981596947405665832e-01,7.981880494102915335e-01,-2.835466972495037652e-05
4.375000000000000000e-01,8.050673551198775924e-01,8.050959551846403883e-01,-2.860006476279597365e-05
4.500000000000000111e-01,8.107336599900396568e-01,8.107624613506136946e-01,-2.880136057403781535e-05
4.625000000000000222e-01,8.151498723196450857e-01,8.151788305664195988e-01,-2.895824677451308560e-05
4.750000000000000333e-01,8.183091826293747983e-01,8.183382531108325253e-01,-2.907048145772694880e-05
4.875000000000000444e-01,8.202067194917228576e-01,8.202358573832883026e-01,-2.913789156544499548e-05
5.000000000000000000e-01,8.208395570423835386e-01,8.208687174155399058e-01,-2.916037315636721416e-05
5.125000000000000666e-01,8.202067194917228576e-01,8.202358573832883026e-01,-2.913789156544499548e-05
5.250000000000000222e-01,8.183091826293747983e-01,8.183382531108325253e-01,-2.907048145772694880e-05
5.374999999999999778e-01,8.151498723196450857e-01,8.151788305664195988e-01,-2.895824677451308560e-05
5.500000000000000444e-01,8.107336599900396568e-01,8.107624613506135836e-01,-2.880136057392679305e-05
5.625000000000000000e-01,8.050673551198775924e-01,8.050959551846403883e-01,-2.860006476279597365e-05
5.750000000000000666e-01,7.981596947405665832e-01,7.981880494102914225e-01,-2.835466972483935422e-05
5.875000000000000222e-01,7.900213299637343090e-01,7.900493955175755811e-01,-2.806555384127218389e-05
6.000000000000000888e-01,7.806648095579863389e-01,7.806925427208941670e-01,-2.773316290782812388e-05
6.125000000000000444e-01,7.701045605996139631e-01,7.701319186090613833e-01,-2.735800944742017293e-05
6.250000000000000000e-01,7.583568662270890881e-01,7.583838068990085279e-01,-2.694067191943982920e-05
6.375000000000000666e-01,7.454398405336440936e-01,7.454663223274721195e-01,-2.648179382802595683e-05
6.500000000000000222e-01,7.313734006366537921e-01,7.313993827193837616e-01,-2.598208272996949120e-05
6.625000000000000888e-01,7.161792359668831542e-01,7.162046782760267405e-01,-2.544230914358625029e-05
6.750000000000000444e-01,6.998807748249581406e-01,6.999056381303189189e-01,-2.486330536077829834e-05
6.875000000000000000e-01,6.825031482566236152e-01,6.825273942207866762e-01,-2.424596416306101787e-05
7.000000000000000666e-01,6.640731513024923371e-01,6.640967425399382229e-01,-2.359123744588575988e-05
7.125000000000000222e-01,6.446192016820347925e-01,6.446421018167851624e-01,-2.290013475036989377e-05
7.250000000000000888e-01,6.241712959755152390e-01,6.241934696972223362e-01,-2.217372170709719370e-05
7.375000000000000444e-01,6.027609633714395843e-01,6.027823764898317949e-01,-2.141311839221060609e-05
7.500000000000000000e-01,5.804212170508312729e-01,5.804418365484321773e-01,-2.061949760090442396e-05
7.625000000000000666e-01,5.571865032832995501e-01,5.572062973663380880e-01,-1.979408303853791296e-05
7.750000000000000222e-01,5.330926483133884286e-01,5.331115864608235722e-01,-1.893814743514354859e-05
7.875000000000000888e-01,5.081768031191039592e-01,5.081948561296846245e-01,-1.805301058066532960e-05
8.000000000000000444e-01,4.824773861277993348e-01,4.824945261650920303e-01,-1.714003729269553133e-05
8.125000000000000000e-01,4.560340239777440630e-01,4.560502246130535009e-01,-1.620063530943793850e-05
8.250000000000000666e-01,4.288874904167206403e-01,4.289027266698414720e-01,-1.523625312083165539e-05
8.375000000000000222e-01,4.010796434318600334e-01,4.010938918095940942e-01,-1.424837773406073538e-05
8.500000000000000888e-01,3.726533607076599197e-01,3.726665992400415295e-01,-1.323853238160976886e-05
8.625000000000000444e-01,3.436524735117030271e-01,3.436646817858750591e-01,-1.220827417203196319e-05
8.750000000000000000e-01,3.141216991100191924e-01,3.141328583017078402e-01,-1.115919168864776267e-05
8.875000000000000666e-01,2.841065718163027221e-01,2.841166647188427818e-01,-1.009290254005978937e-05
9.000000000000000222e-01,2.536533727813005679e-01,2.536623838321682700e-01,-9.011050867702152800e-06
9.125000000000000888e-01,2.228090586306328558e-01,2.228169739354405876e-01,-7.915304807731837755e-06
9.250000000000000444e-01,1.916211890610794444e-01,1.916279964150012227e-01,-6.807353921778336314e-06
9.375000000000000000e-01,1.601378535069746811e-01,1.601435424135641550e-01,-5.688906589473852193e-06
