nodes,dx,dt,steps,diffusion_number,l2_error,max_error,integration_seconds,observed_order
21,0.05,0.01,20,0.3999999999999999,0.00033132158462889085,0.0004685594784891167,3.116699999999861e-05,
41,0.025,0.0025,80,0.3999999999999999,8.254819094322198e-05,0.00011674077118117854,0.00011370799999999015,2.0049236901229617
81,0.0125,0.000625,320,0.3999999999999999,2.0619497600778114e-05,2.9160373156367214e-05,0.00044154199999996147,2.001227417084568
161,0.00625,0.00015625,1280,0.3999999999999999,5.153778879222256e-06,7.288543988459573e-06,0.0018822920000000076,2.000306636111817
