x,numerical,analytical,error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,1.611654084725595501e-02,1.611668394828710826e-02,-1.431010311532532331e-07
1.250000000000000069e-02,3.222686846122291282e-02,3.222715460811705068e-02,-2.861468941378619846e-07
1.875000000000000278e-02,4.832477200393157923e-02,4.832520108637362866e-02,-4.290824420494221414e-07
2.500000000000000139e-02,6.440404542712864500e-02,6.440461727969915007e-02,-5.718525705050714336e-07
3.125000000000000000e-02,8.045848986482648235e-02,8.045920426706540396e-02,-7.144022389216075908e-07
3.750000000000000555e-02,9.648191602308406334e-02,9.648277269957573898e-02,-8.566764916756453019e-07
4.375000000000000416e-02,1.124681465660975072e-01,1.124691451865768022e-01,-9.986204792949981979e-07
5.000000000000000278e-02,1.284110184976806901e-01,1.284121586771604373e-01,-1.140179479747205349e-06
5.625000000000000139e-02,1.443043855372174999e-01,1.443056668361367978e-01,-1.281298919297846339e-06
6.250000000000000000e-02,1.601421204891701477e-01,1.601435424135638497e-01,-1.421924393701923250e-06
6.875000000000000555e-02,1.759181176052295736e-01,1.759196796069188440e-01,-1.562001689270342553e-06
7.500000000000001110e-02,1.916262949381977165e-01,1.916279964150011117e-01,-1.701476803395163273e-06
8.125000000000000278e-02,2.072605966866939153e-01,2.072624369826597257e-01,-1.840295965810367917e-06
8.750000000000000833e-02,2.228149955297815399e-01,2.228169739354406709e-01,-1.978405659130988425e-06
9.375000000000000000e-02,2.382834949506150712e-01,2.382856107032544357e-01,-2.115752639364476551e-06
1.000000000000000056e-01,2.536601315482114871e-01,2.536623838321681590e-01,-2.252283956671874421e-06
1.062500000000000111e-01,2.689389773364546654e-01,2.689413652834304336e-01,-2.387946975768162616e-06
1.125000000000000028e-01,2.841141420294471809e-01,2.841166647188428929e-01,-2.522689395711985583e-06
1.187500000000000083e-01,2.991797753123274228e-01,2.991824317715982562e-01,-2.656459270833355646e-06
1.250000000000000000e-01,3.141300690966773446e-01,3.141328583017077847e-01,-2.789205030440111699e-06
1.312500000000000056e-01,3.289592597596512347e-01,3.289621806351495925e-01,-2.920875498357844435e-06
1.375000000000000111e-01,3.436616303659619232e-01,3.436646817858752256e-01,-3.051419913302488851e-06
1.437500000000000167e-01,3.582315128718683850e-01,3.582346936598160281e-01,-3.180787947643093361e-06
1.500000000000000222e-01,3.726632903103140881e-01,3.726665992400418070e-01,-3.308929727718901148e-06
1.562500000000000000e-01,3.869513989563751477e-01,3.869548347522274723e-01,-3.435795852324563526e-06
