nodes,dx,dt,steps,diffusion_number,l2_error,max_error,integration_seconds,observed_order
21,0.05,0.01,20,0.3999999999999999,0.00033132158462888386,0.0004685594784891167,6.33530007689842e-05,
41,0.025,0.0025,80,0.3999999999999999,8.254819094321848e-05,0.00011674077118117854,0.0002407949996268144,2.004923690122992
81,0.0125,0.000625,320,0.3999999999999999,2.0619497600777627e-05,2.9160373156367214e-05,0.001166087000456173,2.0012274170845408
161,0.00625,0.00015625,1280,0.3999999999999999,5.153778879220545e-06,7.288543988459573e-06,0.0039973069997358834,2.000306636112262
