x,y,u,v,pressure,theta,vorticity
1.562500000000000000e-02,1.562500000000000000e-02,-3.393223495633383734e-04,3.393223495634852286e-04,-9.583929971467214370e-02,9.764033856173930381e-01,4.259619853463787742e-02
4.687500000000000000e-02,1.562500000000000000e-02,-1.676476893621557706e-03,9.978321944948808503e-04,-9.695245317119918771e-02,9.292911525818972063e-01,1.031101442720378514e-01
7.812500000000000000e-02,1.562500000000000000e-02,-4.050170286188815340e-03,1.375861198072376784e-03,-9.650158680009486567e-02,8.824513649714437191e-01,1.960196239669030616e-01
1.093750000000000000e-01,1.562500000000000000e-02,-6.950695448227919848e-03,1.524663963966726640e-03,-9.403591553741695586e-02,8.361201630489472070e-01,3.131427473334699174e-01
1.406250000000000000e-01,1.562500000000000000e-02,-1.000163857983766766e-02,1.526279167643022254e-03,-8.961205948187497827e-02,7.905529345754916948e-01,4.433813243193718279e-01
1.718750000000000000e-01,1.562500000000000000e-02,-1.297047951381164257e-02,1.442561766330950927e-03,-8.348123547912185416e-02,7.459997533675445380e-01,5.770436635436140271e-01
2.031250000000000000e-01,1.562500000000000000e-02,-1.572658040462411935e-02,1.313539124481525201e-03,-7.594147872065155902e-02,7.026859486269337873e-01,7.069416753496555739e-01
2.343750000000000000e-01,1.562500000000000000e-02,-1.820360533871279857e-02,1.163485809607156182e-03,-6.727484160938951296e-02,6.607987882081837183e-01,8.282237165048084160e-01
2.656250000000000000e-01,1.562500000000000000e-02,-2.037343221644751651e-02,1.006341068127560674e-03,-5.772493895074979481e-02,6.204799670747338514e-01,9.378420709947400402e-01
2.968750000000000000e-01,1.562500000000000000e-02,-2.222925264953766120e-02,8.494793649625840149e-04,-4.749288931219546733e-02,5.818230076527232120e-01,1.034011739444173683e+00
3.281250000000000000e-01,1.562500000000000000e-02,-2.377492400752927865e-02,6.961919930290310504e-04,-3.674123930965861318e-02,5.448744505070703958e-01,1.115769821773038961e+00
3.593750000000000000e-01,1.562500000000000000e-02,-2.501842650742840818e-02,5.473105068701010836e-04,-2.560095994939082242e-02,5.096376991012797619e-01,1.182650565493749362e+00
3.906250000000000000e-01,1.562500000000000000e-02,-2.596801478497202942e-02,4.022777706735219450e-04,-1.417919265386076433e-02,4.760784944124189511e-01,1.234460887707987897e+00
