x,numerical,analytical
6.250000000000000347e-03,5.808582081823515653e-01,5.665181636704109680e-01
1.875000000000000278e-02,5.942238907868343523e-01,5.804016136507970103e-01
3.125000000000000000e-02,6.100913180388651824e-01,5.968720272136482929e-01
4.375000000000000416e-02,6.283626619729802965e-01,6.158278587823814432e-01
5.625000000000000139e-02,6.489252736779873576e-01,6.371522393519217786e-01
6.875000000000000555e-02,6.716523778149627866e-01,6.607136970249819496e-01
8.125000000000000278e-02,6.964038542293731204e-01,6.863669675800275760e-01
9.375000000000000000e-02,7.230271018384225590e-01,7.139538900735089566e-01
1.062500000000000111e-01,7.513579794674726253e-01,7.433043819546711894e-01
1.187500000000000083e-01,7.812218178349680242e-01,7.742374876810376172e-01
1.312500000000000056e-01,8.124344964466387875e-01,8.065624943695040017e-01
1.437500000000000167e-01,8.448035787595752355e-01,8.400801076046804372e-01
1.562500000000000000e-01,8.781294986175057771e-01,8.745836801552344664e-01
1.687500000000000111e-01,9.122067906425136430e-01,9.098604860227899049e-01
1.812500000000000222e-01,9.468253569974148798e-01,9.456930319684450081e-01
1.937500000000000056e-01,9.817717627087902965e-01,9.818603984309139943e-01
2.062500000000000167e-01,1.016830551564569918e+00,1.018139601569086006e+00
2.187500000000000000e-01,1.051785574473227625e+00,1.054306968031554881e+00
2.312500000000000111e-01,1.086421322094807129e+00,1.090139513977210095e+00
2.437500000000000222e-01,1.120524253527666270e+00,1.125416319844765534e+00
2.562500000000000333e-01,1.153884112859145938e+00,1.159919892395319785e+00
2.687499999999999889e-01,1.186295225463189107e+00,1.193437505630495998e+00
2.812500000000000000e-01,1.217557766052802748e+00,1.225762512318962383e+00
2.937500000000000111e-01,1.247478990669402377e+00,1.256695618045328811e+00
3.062500000000000222e-01,1.275874425013409530e+00,1.286046109926491043e+00
3.187500000000000333e-01,1.302569001789653846e+00,1.313633032419972313e+00
3.312500000000000444e-01,1.327398140055461973e+00,1.339286302975018161e+00
3.437500000000000000e-01,1.350208759916898593e+00,1.362847760648078221e+00
3.562500000000000111e-01,1.370860226317217601e+00,1.384172141217618446e+00
3.687500000000000222e-01,1.389225216098751270e+00,1.403127972786351707e+00
3.812500000000000333e-01,1.405190502992517576e+00,1.419598386349202990e+00
3.937500000000000444e-01,1.418657655695820141e+00,1.433481836329589143e+00
4.062500000000000000e-01,1.429543644733960450e+00,1.444692726641665148e+00
4.187500000000000111e-01,1.437781354364559228e+00,1.453161938418658039e+00
4.312500000000000222e-01,1.443319996368427782e+00,1.458837256153663775e+00
4.437500000000000333e-01,1.446125423175826930e+00,1.461683689625611571e+00
4.562500000000000444e-01,1.446180338397589527e+00,1.461683689625611571e+00
4.687500000000000000e-01,1.443484403463112686e+00,1.458837256153663775e+00
4.812500000000000111e-01,1.438054239707756699e+00,1.453161938418658039e+00
4.937500000000000222e-01,1.429923325896785835e+00,1.444692726641665148e+00
5.062499999999999778e-01,1.419141791817648102e+00,1.433481836329589143e+00
5.187500000000000444e-01,1.405776109213165537e+00,1.419598386349202990e+00
5.312500000000000000e-01,1.389908681961134596e+00,1.403127972786351929e+00
5.437500000000000666e-01,1.371637338027019704e+00,1.384172141217618446e+00
5.562500000000000222e-01,1.351074726322012642e+00,1.362847760648078221e+00
5.687499999999999778e-01,1.328347622185037213e+00,1.339286302975018161e+00
5.812500000000000444e-01,1.303596145770626880e+00,1.313633032419972313e+00
5.937500000000000000e-01,1.276972898161577552e+00,1.286046109926491043e+00
6.062500000000000666e-01,1.248642020532527264e+00,1.256695618045328811e+00
6.187500000000000222e-01,1.218778182165031865e+00,1.225762512318962383e+00
6.312500000000000888e-01,1.187565503553360990e+00,1.193437505630495776e+00
6.437500000000000444e-01,1.155196421240424876e+00,1.159919892395319563e+00
6.562500000000000000e-01,1.121870501382494112e+00,1.125416319844765756e+00
6.687500000000000666e-01,1.087793209357486468e+00,1.090139513977210095e+00
6.812500000000000222e-01,1.053174643002585009e+00,1.054306968031554881e+00
6.937500000000000888e-01,1.018228237291209703e+00,1.018139601569085784e+00
7.062500000000000444e-01,9.831694484354299712e-01,9.818603984309137722e-01
7.187500000000000000e-01,9.482144255267720423e-01,9.456930319684448971e-01
7.312500000000000666e-01,9.135786779051927597e-01,9.098604860227899049e-01
7.437500000000000222e-01,8.794757464723336193e-01,8.745836801552345774e-01
7.562500000000000888e-01,8.461158871408539506e-01,8.400801076046801041e-01
7.687500000000000444e-01,8.137047745368111151e-01,8.065624943695037796e-01
7.812500000000000000e-01,7.824422339471974741e-01,7.742374876810376172e-01
7.937500000000000666e-01,7.525210093305980674e-01,7.433043819546711894e-01
8.062500000000000222e-01,7.241255749865906921e-01,7.139538900735091786e-01
8.187500000000000888e-01,6.974309982103464867e-01,6.863669675800274650e-01
8.312500000000000444e-01,6.726018599445384716e-01,6.607136970249817276e-01
8.437500000000000000e-01,6.497912400831016289e-01,6.371522393519215566e-01
8.562500000000000666e-01,6.291397736827827325e-01,6.158278587823814432e-01
8.687500000000000222e-01,6.107747839012489521e-01,5.968720272136482929e-01
8.812500000000000888e-01,5.948094970074824239e-01,5.804016136507967882e-01
8.937500000000000444e-01,5.813423443041797478e-01,5.665181636704108570e-01
9.062500000000000000e-01,5.704563552660395498e-01,5.553072733583348519e-01
9.187500000000000666e-01,5.622186456354405504e-01,5.468380615813420720e-01
9.312500000000000222e-01,5.566800036315719957e-01,5.411627438463362250e-01
9.437500000000000888e-01,5.538745768241729595e-01,5.383163103743884292e-01
9.562500000000000444e-01,5.538196616024102514e-01,5.383163103743884292e-01
9.687500000000000000e-01,5.565155965368870916e-01,5.411627438463362250e-01
