cells,scheme,dt,steps,courant,diffusion_number,l2_error,mass_drift,integration_seconds
40,upwind,0.011111111111111112,18,0.4444444444444444,0.17777777777777776,0.017545065149866448,0.0,0.0002368749999999975
80,upwind,0.0038461538461538464,52,0.3076923076923077,0.2461538461538461,0.01100153423877166,0.0,0.0005424169999999895
160,upwind,0.0011904761904761906,168,0.1904761904761905,0.30476190476190473,0.006467478908989072,0.0,0.0017182910000000107
40,lax_wendroff,0.011111111111111112,18,0.4444444444444444,0.17777777777777776,0.00044664537687948586,0.0,0.0002011670000000021
80,lax_wendroff,0.0038461538461538464,52,0.3076923076923077,0.2461538461538461,0.00024150015614343365,0.0,0.0005600419999999828
160,lax_wendroff,0.0011904761904761906,168,0.1904761904761905,0.30476190476190473,9.132334059540283e-05,0.0,0.001882250000000002
