time,steps,change_rate,max_divergence,kinetic_energy,nusselt_hot,nusselt_cold,max_energy_step_defect
0.001270859590514633,1,0.32726518220935413,5.431852884152377e-14,2.8308066885498228e-08,1.00000105712158,1.0000010571215805,2.0178207099035775e-19
1.601283084048455,1260,0.15429203560262303,2.868538739875248e-14,0.012138044299356983,1.163363751155802,1.1633637511558028,2.0247106882610822e-18
3.2012953085063995,2519,0.09368232964311274,5.360295540768334e-15,0.01635233112960243,1.8869402663720134,1.886940266372015,2.030445156012177e-18
4.801307532964064,3778,0.029522899502167757,2.633310236532793e-15,0.011362901030172644,2.3509127354172987,2.3509127354172996,2.030445156012177e-18
6.40131975742145,5037,0.01416941931467063,6.0472460372551495e-15,0.008781280162486242,2.3499954608103826,2.349995460810382,2.030445156012177e-18
8.001331981878836,6296,0.006445299817267244,8.378714388967978e-15,0.008523245529951429,2.270547352370897,2.270547352370898,2.030445156012177e-18
9.601344206336222,7555,0.002376661436538078,7.702172233337023e-15,0.008857978404082712,2.23960071742748,2.2396007174274777,2.030445156012177e-18
11.201356430793608,8814,0.001552614008297557,6.536438057480609e-15,0.009039632326976108,2.2433102090574732,2.2433102090574724,2.030445156012177e-18
12.801368655250993,10073,0.0007228950512443125,8.066464163292153e-15,0.00903691623444711,2.251835304490354,2.2518353044903527,2.030445156012177e-18
14.401380879708379,11332,0.00026578056784235584,7.244205235679146e-15,0.008993381039061266,2.254879764861565,2.2548797648615646,2.030445156012177e-18
16.001393104165768,12591,0.00013671898445796884,8.607697887796917e-15,0.008973374822516747,2.2544995192195145,2.2544995192195127,2.0563332516252425e-18
17.60140532862539,13850,5.205006689862043e-05,8.066464163292153e-15,0.00897284111089088,2.2537567632075395,2.2537567632075395,2.0563332516252425e-18
19.20141755308501,15109,1.9822627856175898e-05,8.014422459012849e-15,0.008976249199225884,2.253542797292169,2.253542797292168,2.0563332516252425e-18
20.801429777544634,16368,1.4656528683804028e-05,6.859096624012295e-15,0.00897756523646797,2.2536161749231103,2.253616174923108,2.0563332516252425e-18
22.401442002004256,17627,6.076374893091826e-06,8.420347752391422e-15,0.008977304548923879,2.2536964798595016,2.2536964798595025,2.0563332516252425e-18
24.001454226463878,18886,2.3289861131452386e-06,7.951972413877684e-15,0.008976868066391102,2.2537177059261757,2.2537177059261766,2.0563332516252425e-18
25.6014664509235,20145,1.2525830654241354e-06,7.337880303381894e-15,0.00897671129998613,2.253711239791668,2.2537112397916674,2.0563332516252425e-18
26.078038797366993,20520,9.777760898100383e-07,7.181755190543981e-15,0.008976705763055117,2.253708712373532,2.2537087123735318,2.0563332516252425e-18
